Transaction_ID,Cleaned_Item,Cleaned_Quantity,Cleaned_Price_Per_Unit,Cleaned_Total_Spent
TXN_4031509,UNKNOWN,4,4,16
TXN_3495950,Tea,4,1.5,6
TXN_2523298,Tea,4,1.5,6
TXN_7940202,UNKNOWN,1,4,4
TXN_5245399,Coffee,5,2,10
TXN_3611851,UNKNOWN,4,3,12
TXN_5206049,Cookie,3,1,3
TXN_4844386,UNKNOWN,5,3,15
TXN_8266689,UNKNOWN,5,3,15
TXN_7797231,Coffee,5,2,10
TXN_5093855,Tea,4,1.5,6
TXN_9618962,Coffee,3,2,6
TXN_4208919,UNKNOWN,3,4,12
TXN_2536573,UNKNOWN,2,4,8
TXN_7928378,UNKNOWN,3,4,12
TXN_7595907,UNKNOWN,5,3,15
TXN_8365530,UNKNOWN,4,4,16
TXN_3803063,UNKNOWN,4,3,12
TXN_5935353,UNKNOWN,2,4,8
TXN_3334632,Coffee,1,2,2
TXN_1208561,UNKNOWN,20,3,60
TXN_8751702,UNKNOWN,5,3,15
TXN_9659401,Cookie,3,1,3
TXN_4696403,Cookie,3,1,3
TXN_3641519,Cookie,5,1,5
TXN_2958213,Cookie,5,1,5
TXN_3645818,Cookie,1,1,1
TXN_1998143,Cookie,1,1,1
TXN_7625340,Cookie,2,1,2
TXN_5975573,Cookie,1,1,1
TXN_2634805,Cookie,4,1,4
TXN_7375024,Cookie,1,1,1
TXN_4877601,Cookie,2,1,2
TXN_7243779,Cookie,1,1,1
TXN_5900899,Cookie,4,1,4
TXN_8494571,Cookie,5,1,5
TXN_4449992,Cookie,3,1,3
TXN_4403699,Cookie,1,1,1
TXN_8119542,Cookie,2,1,2
TXN_7799794,Cookie,4,1,4
TXN_2102561,Cookie,2,1,2
TXN_1205610,Cookie,2,1,2
TXN_3931747,Cookie,4,1,4
TXN_9643918,Cookie,3,1,3
TXN_7379939,Cookie,1,1,1
TXN_1478016,Cookie,4,1,4
TXN_1914728,Cookie,5,1,5
TXN_8556230,Cookie,5,1,5
TXN_2147453,Cookie,4,1,4
TXN_9601220,Cookie,3,1,3
TXN_6928775,Cookie,2,1,2
TXN_6306655,Cookie,4,1,4
TXN_6191123,Cookie,2,1,2
TXN_1054915,Cookie,5,1,5
TXN_2114258,Cookie,1,1,1
TXN_3815345,Cookie,5,1,5
TXN_3670298,Cookie,4,1,4
TXN_5446858,Cookie,1,1,1
TXN_3515730,Cookie,1,1,1
TXN_6044979,Cookie,1,1,1
TXN_4132730,Cookie,5,1,5
TXN_9238066,Tea,5,1.5,7.5
TXN_5531712,Tea,2,1.5,3
TXN_3228823,Tea,5,1.5,7.5
TXN_3463928,Tea,4,1.5,6
TXN_5657259,Tea,2,1.5,3
TXN_4090904,Tea,7.5,1.5,11.25
TXN_8540115,Tea,2,1.5,3
TXN_1243964,Tea,3,1.5,4.5
TXN_2540440,Tea,2,1.5,3
TXN_6211466,Tea,2,1.5,3
TXN_4465589,Tea,3,1.5,4.5
TXN_4520062,Tea,2,1.5,3
TXN_6281959,Tea,4,1.5,6
TXN_8734331,Tea,3,1.5,4.5
TXN_1984966,Tea,2,1.5,3
TXN_1430778,Tea,1,1.5,1.5
TXN_3575713,Tea,1.5,1.5,2.25
TXN_9365447,Tea,2,1.5,3
TXN_1785644,Tea,5,1.5,7.5
TXN_2035137,Tea,2,1.5,3
TXN_3374262,Tea,2,1.5,3
TXN_9496018,Tea,5,1.5,7.5
TXN_5609139,Tea,2,1.5,3
TXN_9626920,Tea,2,1.5,3
TXN_1307428,Tea,4,1.5,6
TXN_8476828,Tea,3,1.5,4.5
TXN_9506595,Tea,3,1.5,4.5
TXN_7435096,Tea,4,1.5,6
TXN_4633505,Tea,3,1.5,4.5
TXN_2084232,Tea,4,1.5,6
TXN_6474636,Tea,3,1.5,4.5
TXN_3740505,Tea,2,1.5,3
TXN_1237674,Tea,3,1.5,4.5
TXN_3105633,Coffee,1,2,2
TXN_3679582,Coffee,5,2,10
TXN_8039560,Coffee,5,2,10
TXN_6467796,Coffee,5,2,10
TXN_4049270,Coffee,5,2,10
TXN_7258784,Coffee,4,2,8
TXN_8325221,Coffee,2,2,4
TXN_8159649,Coffee,4,2,8
TXN_8039752,Coffee,2,2,4
TXN_4329558,Coffee,4,2,8
TXN_2849095,Coffee,3,2,6
TXN_2273499,Coffee,3,2,6
TXN_8628615,Coffee,1,2,2
TXN_9395554,Coffee,4,2,8
TXN_3678804,Coffee,3,2,6
TXN_4466681,Coffee,4,2,8
TXN_4914203,Coffee,1,2,2
TXN_6070523,Coffee,4,2,8
TXN_7436097,Coffee,5,2,10
TXN_4570881,Coffee,1,2,2
TXN_7899009,Coffee,1,2,2
TXN_8798330,Coffee,1,2,2
TXN_7677817,Coffee,2,2,4
TXN_8155325,Coffee,5,2,10
TXN_9489442,Coffee,3,2,6
TXN_1165762,Coffee,3,2,6
TXN_3734446,Coffee,5,2,10
TXN_6226704,Coffee,4,2,8
TXN_6843677,Coffee,8,2,16
TXN_4011694,Coffee,1,2,2
TXN_5484423,Coffee,2,2,4
TXN_2130415,Coffee,2,2,4
TXN_5284338,Coffee,4,2,8
TXN_4449173,Coffee,2,2,4
TXN_6565955,Coffee,3,2,6
TXN_3331437,Coffee,1,2,2
TXN_6362093,Coffee,3,2,6
TXN_6434414,Coffee,1,2,2
TXN_1736287,Coffee,5,2,10
TXN_4717867,UNKNOWN,5,3,15
TXN_8051289,UNKNOWN,1,3,3
TXN_8669422,UNKNOWN,4,3,12
TXN_5115080,UNKNOWN,5,3,15
TXN_8964522,UNKNOWN,3,3,9
