full_name,sm_axis,eccentricity,inclination,longitude,arg_perihelion,dist_perihelion,dist_aphelion,orb_period,data_arc,albedo,rot_per,spec_B,spec_T,moid,diameter,size
Eriphyla (1900 FQ),2.872398804,0.08799001,3.192670006,105.275106,251.1954773,2.619656404,3.125141203,4.868277301,43300,0.259,8.659,S,S,1.61635,34.274,SMALL
Feodosia (1924 TP),2.732684017,0.18058295,15.8088628,52.76629618,183.4404338,2.239207877,3.226160157,4.517439317,34595,0.057,10.46,Ch,XC,1.228,62.218,SMALL
Phaedra,2.862284603,0.141180788,12.12087238,327.6684776,289.3818847,2.458185008,3.266384197,4.84258691,51849,0.169,5.744,S,S,1.47493,64.849,SMALL
Phthia,2.4514276,0.036370434,5.176071048,203.4149085,167.2212159,2.362268116,2.540587085,3.838281382,50962,0.17,22.346,Sa,S,1.36098,38.49,SMALL
Frigga,2.668110949,0.132298071,2.422958194,1.149364306,61.83027275,2.315125017,3.021096881,4.358268976,51164,0.177,9.012,Xe,MU,1.32908,61.39,SMALL
Niobe,2.756529553,0.173322118,23.26242197,316.0043202,266.9750611,2.278762013,3.234297092,4.576697218,56731,0.3052,35.864,Xe,S,1.40954,83.42,LARGE
Loreley,3.12619586,0.085553397,11.22600611,302.497204,346.6724343,2.858739186,3.393652534,5.527547429,52239,0.047,7.226,Cb,CD,1.84314,180.083,LARGE
Zelima (1907 ZM),3.018797787,0.083508433,10.9014324,147.2889136,189.9221318,2.766702714,3.27089286,5.245165992,41009,0.203,11.73,S,S,1.75656,33.387,SMALL
Terpsichore,2.853597192,0.210697402,7.802982638,0.95964501,51.67737782,2.252351676,3.454842707,4.820556813,56522,0.045,10.943,Cb,C,1.27209,117.727,LARGE
Davida (1903 LU),3.16488038,0.188134966,15.93822372,107.5963266,337.4405412,2.569455716,3.760305045,5.630463564,42444,0.076,5.1297,C,C,1.59307,270.327,LARGE
Riema (1923 NX),1.979167083,0.039292888,26.86093189,163.3799265,348.9212192,1.901399892,2.056934275,2.784401707,34947,1,3.588,Xe,E,0.911444,4.605,SMALL
Diotima (1896 DB),3.0664411,0.035881643,11.24426484,69.37421166,198.5487926,2.956412156,3.176470044,5.369825132,43932,0.067,4.775,C,C,1.94249,175.859,LARGE
